Judul,Label
etika bisnis jual beli online dalam perspektif islam,0
penerapan pidana mati terhadap terpidana kasus korupsi,0
faktorfaktoryang mempengaruhi kesejahteraan hidup masyarakat suku laut pulau bertam kota batam,0
efektivitas terapi musik untuk menurunkan tingkat stres dan kecemasan,0
edukasi masyarakat tentang pemanfaatan aplikasi kesehatan online melalui partisipasi pengembangan sistem informasi,1
pengembangan sistem prediksi perubahan iklim berbasis kecerdasan buatan untuk manajemen sumber daya alam yang berkelanjutan di papua,1
peran etika profesi hukum dalam meningkatkan profesionalisme hukum di indonesia,0
penerapan teknologi kecerdasan buatan atau ai guna mendukung operasional pelabuhan,1
pengaruh kompensasi beban kerja dan burnout serta dampaknya terhadap turnover intention guru honorer sekolah dasar di kabupaten jembrana,0
memanfaatkan digital marketing bagi usaha rumahan sayuran hidroponik dengan ecommerce sebagai media promosi,1
pengembangan game edukasi pengenalan nama hewan dan habitatnya dalam 3 bahasa sebagai media pembelajaran berbasis multimedia,1
pemanfaatan limbah sampah plastik menggunakan metode ecobrick di desa luwuk kanan,0
strategi implementasi pengembangan perkebunan kelapa sawit di era industri 40,1
learning management system lms pada kursus online berbasis deteksi kecurangan ujian menggunakan model mediapipe face,1
peran pendidikan agama islam dalam membentuk karakter jujur pada siswa,0
ecobrick solusi cerdas dan kreatif untuk mengatasi sampah plastik,0
algoritma pemrograman,1
respon tunarungu terhadap penggunaan sistem bahasa isyarat indonesa sibi dan bahasa isyarat indonesia bisindo dalam komunikasi,0
penerapan artificial intelligence untuk meningkatkan produktivitas dan keberlanjutan pertanian di indonesia,1
kaji terap kecerdasan buatan di badan pengkajian dan penerapan teknologi,1
perancangan kampung nelayan bontang kuala sebagai strategi habitasi yang adaptif terhadap kenaikan permukaan air laut,0
peranan kawasan mangrove dalam penurunan emisi gas rumah kaca di indonesia,0
budaya membaca di kalangan mahasiswa pgsd sebuah studi kasus di kabupaten sumedang,0
penerapan less code development dalam pengembangan learning management system lms,1
implikasi etika keilmuan dalam penggunaan artificial intelligence ai pada keterampilan menulis karya ilmiah siswa kelas xi man 2,1
dampak jangka panjang program makan bergizi gratis terhadap kesehatan dan keberlanjutan pendidikan,0
analisis faktorfaktor yang mempengaruhi kepuasan pelanggan cafe rawasakti menurut tinjauan pemasaran syariah,0
sistem informasi manajemen energi berbasis internet of things iot dengan metode rapid application development rad,1
pengembangan sistem transportasi masa depan mobilitas berkelanjutan dan otonom di jawa barat,1
tragedi98 dalam sastra indonesia dua persfektif kebangsaan,0
sosialisasi sekolah sepak bola ssb untuk masyarakat desa padaasih kab bandung barat,0
pengembangan sistem keamanan pintu menggunakan metode prototype berbasis rfid dan keypad 4x4 dengan arduino nano,1
perlindungan hukum terhadap korban kekerasan seksual kajian kebijakan hukum pidana indonesia dan hukum pidana islam,0
pemodelan data biosensor diabetes tipe 1 dengan algoritma markov chain monte carlo,1
implementasi yolo versi 3 untuk mengidentifikasi dan mengklasifikasi sampah kantor berbasis nvidia jetson nano,1
sistem keamanan untuk otorisasi pada smart home menggunakan pengenalan wajah dengan library opencv,1
perilaku masyarakat terhadap penyebaran hoax selama pandemi covid19 melalui media di indonesia tinjauan literatur sistematis,0
meninjau istilah kedokteran dalam bahasa arab secara harfiah,0
penerapan pengetahuan bahan tambahan pangan pada pemilihan makanan jajanan mahasiswa pendidikan tata boga upi,0
latar belakang dikeluarkannya tribal law and order act of 2010 di amerika serikat,0
tindak pidana tidak menggunakan label berbahasa indonesia pada barang yang diperdagangkan di dalam,0
representasi nilainilai nasionalisme dalam film di balik 98analisis semiotika film di balik 98,0
deteksi spam pada trending topik twitter berbahasa indonesia menggunakan artificial neural network dan stochastic gradient descent,1
pengembangan sistem informasi sekolah berbasis web dua bahasa sma muhammadiyah gading rejo,1
analisis data artikel sistem pakar menggunakan metode systematic review,1
analisis performa dan pengembangan sistem deteksi ras anjing pada gambar dengan menggunakan pretrained cnn model,1
implementasi model pembelajaran steam pada pembelajaran daring,0
membangun sumber daya manusia dan teknologi informasi sebagai dasar kejayaan maritim di indonesia,0
machine learning dan deep learningkonsep dan pemrograman python,1
self injury pada mahasiswa studi kasus pada mahasiswa pelaku self injury,0
pengaruh pola asuh orang tua terhadap kenakalan remaja,0
mengenal artificial intelligence machine learning neural network dan deep learning,1
peran media massa dalam memoderasi dialog politik,0
web scraping senyawa herbal di indonesia menggunakan selenium python,1
komunikasi partisipatif untuk mengurangi dampak lingkungan pada aktivitas pertambangan di morowali,0
representasi gender dalam iklan global studi perbandingan norma budaya dan praktik media,0
aplikasi chatbot speak english media pembelajaran bahasa inggris berbasis android,1
keamanan cloud computing di era industri 40 systematic literature review,1
rancang bangun mobil listrik sula politeknik negeri subang,0
systematic literatur review dengan metode prisma dampak teknologi blockchain terhadap periklanan digital,1
pengaruh gaya hidup sehat terhadap produktivitas pegawai di kantor badan pengelolaan keuangan daerah bpkd kabupaten luwu,0
kesenian ketoprak truthuk wujud nyata perubahan sosial masyarakat kota semarang,0
krisis identitas dalam perspektif psikologi islam tentang pencarian jati diri,0
pengembangan sam berbasis web dengan integrasi teknologi biometrik dan automasi laporan,1
aplikasi etask berbasis student center learning pada matakuliah manajemen proyek sistem informasi,1
artificial intelgence sebuah inovasi baru menjual produk membandingkan keunggulan fb wa instagram telegram dan youtube,1
pengaruh kedisiplinan dan kemandirian belajar terhadap hasil belajar ekonomi madrasah aliyah di kecamatan praya,0
pengembangan prototipe sistem pengontrolan daya listrik berbasis iot esp32 pada smart home system,1
penerapan alat musik tradisional bombardo dalam pembelajaran di sekolah dasar,0
kritik sosial dalam kumpulan puisi negeri terluka karya saut situmorang,0
pentingnya pengenalan tentang perbedaan individu anak dalam efektifitas pendidikan,0
deteksi surel spam dan nonspam bahasa indonesia menggunakan metode nave bayes,1
analisis faktor yang mempengaruhi perilaku konsumsi fast food pada siswasiswi di sma negeri x surabaya,0
pengaruh pertumbuhan penduduk dan pertumbuhan ekonomi terhadap tingkat pengangguran di kota lhokseumawe,0
pemanfaatan komputasi awan cloud computing bagi pembelajaran mahasiswa perguruan tinggi,1
pengembangan sistem manajemen transportasi,1
implementasi sistem monitoring lingkungan pada budidaya tanaman hidroponik berbasis iot,1
implementasi pengolahan citra pada quadcopter untuk deteksi manusia menggunakan algoritma yolo,1
pengolahan limbah cair amonia pada industri pupuk secara mikrobiologis dengan bakteri petrofilik,0
pengembangan frontend aplikasi berbasis mobile accabsensi menggunakan lowcode platform outsystems,1
pengaruh permainan tekateki gambar terhadap perkembangan kognitif anak,0
strategi krisis dan manajemen krisis dalam menghadapi dampak pandemi covid19 dengan pendekatan 4cs causes consequences caution coping,0
pendeteksian objek menggunakan opencv dan metode yolov4tiny untuk membantu tunanetra,1
pusat studi gempa bumi di kabupaten bantul di yogyakarta,0
evaluasi efektivitas sistem deteksi penipuan berbasis ai menggunakan metode regresi logistik untuk meningkatkan keamanan,1
jurnalisme damai dalam pembingkaian berita rasisme mahasiswa papua di tribunnews com dan detik com,0
peran etika profesi notaris sebagai upaya penegakan hukum,0
klasifikasi aktivitas manusia menggunakan algoritme computed input weight extreme learning machine dengan reduksi dimensi principal component,1
analisis yuridis tentang perlindungan konsumen pada ecommerce di indonesia pendekatan yuridisnormatif,0
kreasi senam psikomotor pada anak sekolah dasar bernuansa lagu daerah,0
analisis yuridis perlindungan data pribadi dalam transaksi pinjaman online,0
klasifikasi emosi data text bahasa indonesia menggunakan algoritma bert roberta dan distilbert,1
pemrosesan paralel,1
sosialisasi bahaya rokokguna meningkatkankesadaran masyrarakat akanbesarnya dampak buruk rokok bagi kesehatan,0
pemanfaatan stft dan cnn dalam pengolahan data suara untuk mengklasifikasikan suara batuk,1
sistem pemantauan lingkungan menggunakan sensor bme280 berbasis internet of things,1
pemrosesan paralel menggunakan komputer heterogen,1
sistem rekomendasi pemilihan laptop dengan metode waspas,1
identifikasi pemanfaatan hutan mangrove oleh masyarakat studi kasus kecamatan teluk mengkudu kabupaten serdang bedagai indonesia,0
penerapan ilmu astronomi dalam upaya unifikasi kalender hijriyah di indonesia,0
aplikasi smart card sebagai pengunci elektronis pada smart home,1
analisis penerapan sistem keamanan siber terhadap kejahatan siber di indonesia,1
ketimpangan representasi hantu perempuan pada film horor indonesia periode 19702019,0
pengembangan sistem prediksi hama wereng berdasarkan data cuaca sensor dan cuaca online menggunakan metode naive bayes,1
analisis sistem pendukung keputusan dengan model klasifikasi berbasis machine learning dalam penentuan penerima program indonesia pintar,1
penerapan text augmentation untuk mengatasi data yang tidak seimbang pada klasifikasi teks berbahasa indonesia,1
semantic web sebagai solusi masalah dalam etourism di indonesia,1
pengembangan aplikasi speech to text untuk notulensi seminar berbasis website dengan pendekatan deep learning,1
optimasi model machine learning untuk klasifikasi dan prediksi citra menggunakan algoritma convolutional neural network,1
pengaruh kegiatan ekstrakurikuler dan motivasi belajar terhadap prestasi belajar siswa,0
penerapan teknik kriptografi pada database menggunakan algoritma one time pad,1
teknik data science di bidang kesehatan menganalisis faktor penting ketidakhadiran janji medis pasien,1
implementasi blockchain dalam bidang akuntansi dan supply chain management studi literatur,1
penggunaan artificial intelligence ai dalam membangun sistem pangan berkelanjutan di indonesia,1
kritik sosial dalam kumpulan puisi aku ingin jadi peluru karya wiji thukul kajian resepsi sastra,0
tren pengembangan aplikasi mobile sebuah tinjauan literatur,1
perancangan prototype smart home dengan konsep internet of thing iot berbasis web server,1
pengaruh pola tidur terhadap kesehatan mahasiswa,0
pemanfaatan teknologi ocr optical character recognition dalam pembuatan aplikasi kalkulator tulisan tangan sederhana,1
hubungan antara kecerdasan emosional dengan kematangan karir pada mahasiswa universitas muhammadiyah purwokerto yang sedang menempuh skripsi,0
perbandingan algoritma machine learning untuk analisis sentimen berbasis aspek pada review female daily,1
etika dan pertanggungjawaban penggunaan artificial intelengence di indonesia,1
hubungan antara dukungan sosial dengan stres akademik pada siswa yang mengikuti pembelajaran daring,0
pembuatan aplikasi pemandu pariwisata berbasis mobile menggunakan flutter bagi masyarakat jawa barat,1
analisis aplikasi judi online dari segi keamanan privasi dan etika dalam perspektif hukum negara indonesia,0
pengaruh edukasi pada ibu hamil dalam upaya pencegahan stunting,0
penguatan umkm melalui pembayaran digital strategi digital marketing dalam era baru,1
